Index,Poster (Excel Formula),Chinese Title,English Title,Score,Categories,Region,Duration,Release Date,Poster URL,Local Poster Path
1,"=IMAGE(""https://p0.meituan.net/movie/ce4da3e03e655b5b88ed31b5cd7896cf62472.jpg@464w_644h_1e_1c"")",霸王別姬,Farewell My Concubine,9.5,劇情/愛情,中國內地、中國香港,171 分鐘,1993-07-26 上映,https://p0.meituan.net/movie/ce4da3e03e655b5b88ed31b5cd7896cf62472.jpg@464w_644h_1e_1c,posters/1_霸王別姬.jpg
2,"=IMAGE(""https://p1.meituan.net/movie/6bea9af4524dfbd0b668eaa7e187c3df767253.jpg@464w_644h_1e_1c"")",這個殺手不太冷,Léon,9.5,劇情/動作/犯罪,法國,110 分鐘,1994-09-14 上映,https://p1.meituan.net/movie/6bea9af4524dfbd0b668eaa7e187c3df767253.jpg@464w_644h_1e_1c,posters/2_這個殺手不太冷.jpg
3,"=IMAGE(""https://p0.meituan.net/movie/283292171619cdfd5b240c8fd093f1eb255670.jpg@464w_644h_1e_1c"")",肖申克的救贖,The Shawshank Redemption,9.5,劇情/犯罪,美國,142 分鐘,1994-09-10 上映,https://p0.meituan.net/movie/283292171619cdfd5b240c8fd093f1eb255670.jpg@464w_644h_1e_1c,posters/3_肖申克的救贖.jpg
4,"=IMAGE(""https://p1.meituan.net/movie/b607fba7513e7f15eab170aac1e1400d878112.jpg@464w_644h_1e_1c"")",泰坦尼克號,Titanic,9.5,劇情/愛情/災難,美國,194 分鐘,1998-04-03 上映,https://p1.meituan.net/movie/b607fba7513e7f15eab170aac1e1400d878112.jpg@464w_644h_1e_1c,posters/4_泰坦尼克號.jpg
5,"=IMAGE(""https://p0.meituan.net/movie/289f98ceaa8a0ae737d3dc01cd05ab052213631.jpg@464w_644h_1e_1c"")",羅馬假日,Roman Holiday,9.5,劇情/喜劇/愛情,美國,118 分鐘,1953-08-20 上映,https://p0.meituan.net/movie/289f98ceaa8a0ae737d3dc01cd05ab052213631.jpg@464w_644h_1e_1c,posters/5_羅馬假日.jpg
6,"=IMAGE(""https://p0.meituan.net/movie/da64660f82b98cdc1b8a3804e69609e041108.jpg@464w_644h_1e_1c"")",唐伯虎點秋香,Flirting Scholar,9.5,喜劇/愛情/古裝,中國香港,102 分鐘,1993-07-01 上映,https://p0.meituan.net/movie/da64660f82b98cdc1b8a3804e69609e041108.jpg@464w_644h_1e_1c,posters/6_唐伯虎點秋香.jpg
7,"=IMAGE(""https://p0.meituan.net/movie/223c3e186db3ab4ea3bb14508c709400427933.jpg@464w_644h_1e_1c"")",亂世佳人,Gone with the Wind,9.5,劇情/愛情/歷史/戰爭,美國,238 分鐘,1939-12-15 上映,https://p0.meituan.net/movie/223c3e186db3ab4ea3bb14508c709400427933.jpg@464w_644h_1e_1c,posters/7_亂世佳人.jpg
8,"=IMAGE(""https://p0.meituan.net/movie/1f0d671f6a37f9d7b015e4682b8b113e174332.jpg@464w_644h_1e_1c"")",喜劇之王,The King of Comedy,9.5,劇情/喜劇/愛情,中國香港,85 分鐘,1999-02-13 上映,https://p0.meituan.net/movie/1f0d671f6a37f9d7b015e4682b8b113e174332.jpg@464w_644h_1e_1c,posters/8_喜劇之王.jpg
9,"=IMAGE(""https://p0.meituan.net/movie/8959888ee0c399b0fe53a714bc8a5a17460048.jpg@464w_644h_1e_1c"")",楚門的世界,The Truman Show,9.0,劇情/科幻,美國,103 分鐘,,https://p0.meituan.net/movie/8959888ee0c399b0fe53a714bc8a5a17460048.jpg@464w_644h_1e_1c,posters/9_楚門的世界.jpg
10,"=IMAGE(""https://p0.meituan.net/movie/27b76fe6cf3903f3d74963f70786001e1438406.jpg@464w_644h_1e_1c"")",獅子王,The Lion King,9.0,動畫/歌舞/冒險,美國,89 分鐘,1995-07-15 上映,https://p0.meituan.net/movie/27b76fe6cf3903f3d74963f70786001e1438406.jpg@464w_644h_1e_1c,posters/10_獅子王.jpg
11,"=IMAGE(""https://p1.meituan.net/movie/06ec3c1c647942b1e40bca84036014e9490863.jpg@464w_644h_1e_1c"")",V字仇殺隊,V for Vendetta,8.9,劇情/動作/科幻/驚悚,美國、英國、德國,132 分鐘,2005-12-11 上映,https://p1.meituan.net/movie/06ec3c1c647942b1e40bca84036014e9490863.jpg@464w_644h_1e_1c,posters/11_V字仇殺隊.jpg
12,"=IMAGE(""https://p0.meituan.net/movie/34998e31c6d07475f1add6b8b16fd21d192579.jpg@464w_644h_1e_1c"")",少年派的奇幻漂流,Life of Pi,8.9,劇情/奇幻/冒險,美國、中國臺灣、英國、加拿大,127 分鐘,2012-11-22 上映,https://p0.meituan.net/movie/34998e31c6d07475f1add6b8b16fd21d192579.jpg@464w_644h_1e_1c,posters/12_少年派的奇幻漂流.jpg
13,"=IMAGE(""https://p0.meituan.net/movie/7b7d1f8aa36d7a15463ce6942708a1a7265296.jpg@464w_644h_1e_1c"")",美麗心靈,A Beautiful Mind,8.8,劇情/傳記,美國,135 分鐘,2001-12-13 上映,https://p0.meituan.net/movie/7b7d1f8aa36d7a15463ce6942708a1a7265296.jpg@464w_644h_1e_1c,posters/13_美麗心靈.jpg
14,"=IMAGE(""https://p1.meituan.net/movie/05bc2f0ccf97aacfa64fcac4f237cf8082385.jpg@464w_644h_1e_1c"")",初戀這件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,8.9,喜劇/愛情,泰國,118 分鐘,2012-06-05 上映,https://p1.meituan.net/movie/05bc2f0ccf97aacfa64fcac4f237cf8082385.jpg@464w_644h_1e_1c,posters/14_初戀這件小事.jpg
