Date,Line_ID,Power_Usage,Baseline_kWh
2026-07-26,Line_A,477,471
2026-07-26,Line_B,315,312
2026-07-27,Line_A,629,444
2026-07-27,Line_B,486,500
2026-07-28,Line_A,357,331
2026-07-28,Line_B,423,446
2026-07-29,Line_A,360,381
2026-07-29,Line_B,506,485
2026-07-30,Line_A,502,399
2026-07-30,Line_B,408,407
2026-07-31,Line_A,481,438
2026-07-31,Line_B,348,373
2026-08-01,Line_A,472,446
2026-08-01,Line_B,498,484
2026-08-02,Line_A,361,400
2026-08-02,Line_B,383,416
2026-08-03,Line_A,565,447
2026-08-03,Line_B,471,453
2026-08-04,Line_A,350,354
2026-08-04,Line_B,480,498
