Date,Line_ID,Power_Usage,Baseline_kWh
2026-07-27,Line_A,472,373
2026-07-27,Line_B,482,480
2026-07-28,Line_A,438,416
2026-07-28,Line_B,437,398
2026-07-29,Line_A,476,453
2026-07-29,Line_B,300,301
2026-07-30,Line_A,590,439
2026-07-30,Line_B,383,399
2026-07-31,Line_A,508,483
2026-07-31,Line_B,410,418
2026-08-01,Line_A,435,466
2026-08-01,Line_B,381,351
2026-08-02,Line_A,430,401
2026-08-02,Line_B,381,357
2026-08-03,Line_A,426,341
2026-08-03,Line_B,331,308
2026-08-04,Line_A,455,460
2026-08-04,Line_B,318,340
2026-08-05,Line_A,472,469
2026-08-05,Line_B,445,473
